MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal,Pitch,Weather
695748,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,20106,Paidha Black Angels,25369,Doves All Stars,-0.25,2.25,,+0.5,0.5,,1,1,2,3,2,5,0,0,81,91,26,32,2,1,3,2,0,0,93,1,Pitch: GOOD,Weather: GOOD
696063,976,DZA Cup,Algeria Cup,A,111,Algeria,A,38773,Hydra AC,38774,CRB Dar Beida,+0.75,2.25,,+0.25,0.75,,2,2,2,6,4,1,0,0,124,129,46,50,7,7,6,4,45,55,94,1,Pitch: GOOD,Weather: GOOD
695747,1043,UGA D2,Uganda Division 2,U,109,Uganda,W,28241,Bukedea TC FC,38374,MYDA FC,-0.25,2.0,,0.0,0.75,,1,1,5,5,3,1,0,1,112,100,83,90,1,3,5,7,0,0,97,1,Pitch: GOOD,Weather: GOOD
695888,976,DZA Cup,Algeria Cup,A,111,Algeria,A,38757,Chabab Baladiat Mila,38758,JB Ain Kercha,0.0,2.25,,0.0,0.75,,0,0,7,3,0,0,0,0,102,99,53,59,3,1,6,5,51,49,92,0,Pitch: GOOD,Weather: SUNNY
696061,976,DZA Cup,Algeria Cup,A,111,Algeria,A,38770,CRB Boukadir,34249,CRB Ain Oussera,+0.25,2.0,,0.0,0.75,,0,1,2,1,1,2,0,0,115,116,56,84,2,3,5,6,0,0,90,1,Pitch: GOOD,Weather: GOOD
695891,976,DZA Cup,Algeria Cup,A,111,Algeria,A,38761,IB Khemis El Khechna,23845,RC Kouba,+0.25,2.0,,0.0,0.75,,0,0,2,6,3,1,1,0,105,114,43,71,1,3,2,5,45,55,91,0,Pitch: GOOD,Weather: GOOD
695890,976,DZA Cup,Algeria Cup,A,111,Algeria,A,38759,FCB Bir El Arch,38760,Entente de Collo,-0.5,2.25,,-0.25,1.0,,0,0,4,2,1,1,0,0,81,80,76,71,4,6,8,4,47,53,78,0,Pitch: GOOD,Weather: GOOD
695839,212,URY RL,Uruguay Reserve League,U,52,Uruguay,W,22812,Boston River Reserves,3603,Juventud De Las Piedras Reserves,+0.75,2.5,,+0.25,1.0,,0,1,5,3,3,0,0,0,77,68,58,42,2,1,4,4,0,0,76,1,Pitch: GOOD,Weather: GOOD
695759,183,EU F,Europe Friendlies,E,4,International,G,4502,Viking FK,1392,IK Start,-0.75,3.25,10.5,-0.25,1.25,5,1,1,6,2,0,1,0,0,45,46,26,23,3,4,5,3,51,49,53,1,Pitch: GOOD,Weather: GOOD
695662,1064,AS WCup Q,Asia - World Cup Qualifying,A,4,International,G,1208,Syria,14254,China PR,+0.25,2.25,9.5,0.0,0.75,4.5,1,1,0,2,0,1,0,0,55,59,35,41,5,1,4,5,49,51,52,1,Pitch: GOOD,Weather: GOOD
