MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal,Pitch,Weather
693548,552,TUN Cup,Tunisia Cup,T,55,Tunisia,T,18080,Sfax Railways,19406,ES Rades,-0.25,2.25,9,-0.25,0.75,4.5,2,0,2,10,5,2,0,0,97,94,63,90,4,3,0,1,50,50,FT,1,Pitch: GOOD,Weather: GOOD
693171,429,OMN Su Cup,Oman Sultans Cup,O,33,Oman,A,3513,Al-Oruba Sur,8664,Al-Khaboora,-0.5,2.5,,-0.25,1.0,,2,1,3,3,4,3,0,0,85,93,35,66,3,1,6,3,0,0,FT,1,Pitch: GOOD,Weather: GOOD
693277,653,IRN PL,Iran Pro League,I,74,Iran,Y,36487,Shahre Khodro,23591,Pars Jonoubi Jam,-0.75,1.75,8.5,-0.25,0.5,4,1,0,1,2,3,3,0,0,118,82,75,46,5,0,5,5,0,0,91,1,Pitch: GOOD,Weather: GOOD
693390,933,UAE D1,UAE Division 1,U,35,The United Arab Emirates (UAE),A,9313,Dibba Al Fujairah,9278,Al Thaid,-0.5,2.75,,-0.25,1.25,,2,0,8,3,1,0,0,0,94,89,49,39,8,3,9,5,0,0,81,1,Pitch: GOOD,Weather: GOOD
693391,933,UAE D1,UAE Division 1,U,35,The United Arab Emirates (UAE),A,918,Emirates Club RAK,23381,Al Hamriyah,-0.25,2.5,,0.0,1.0,,0,0,3,3,1,2,0,0,79,94,40,51,4,2,3,5,0,0,85,0,Pitch: GOOD,Weather: GOOD
693522,1355,UAE U19,UAE U19 League,U,35,The United Arab Emirates (UAE),A,37887,Al Arabi Umm Al Quwain U19,23363,Al Ittihad Kalba U19,+1.0,3.5,,+0.5,1.5,,1,1,3,8,1,1,0,1,67,66,37,38,10,5,4,3,51,49,78,1,Pitch: GOOD,Weather: GOOD
693386,1355,UAE U19,UAE U19 League,U,35,The United Arab Emirates (UAE),A,16616,Al Nasr SC U19,37888,Al Jazira U19,+1.0,3.5,,+0.5,1.5,,1,1,2,7,0,2,0,0,77,80,51,65,4,1,6,6,54,46,80,1,Pitch: GOOD,Weather: GOOD
693392,933,UAE D1,UAE Division 1,U,35,The United Arab Emirates (UAE),A,23452,Masfut,23380,Al Arabi Umm Al Quwain,+0.25,2.5,,+0.25,1.0,,0,0,5,5,2,2,0,0,78,70,39,37,1,0,2,3,0,0,76,0,Pitch: GOOD,Weather: GOOD
693172,429,OMN Su Cup,Oman Sultans Cup,O,33,Oman,A,8339,Saham,9483,Al-Nasr Salalah,0.0,3.0,,0.0,1.25,,1,1,5,5,2,1,0,0,96,77,66,52,2,2,6,5,0,0,83,1,Pitch: GOOD,Weather: GOOD
693523,1355,UAE U19,UAE U19 League,U,35,The United Arab Emirates (UAE),A,16621,Al Ain SCC U19,37981,Shabab Al Ahli Dubai U19,+0.75,3.75,,+0.25,1.5,,3,1,3,1,4,4,0,0,67,89,51,49,5,4,1,2,50,50,74,1,Pitch: GOOD,Weather: GOOD
693871,1124,TZA PL,Tanzania Premier League,T,106,Tanzania,T,20910,Ndanda FC,13050,Young Africans,+0.75,2.25,,+0.25,1.0,,0,0,2,5,2,2,0,0,140,239,26,92,0,4,5,9,0,0,72,0,Pitch: GOOD,Weather: GOOD
693298,341,ISR LL,Israel Leumit Liga,I,97,Israel,Y,6370,Hapoel Bnei Lod,956,Bnei Sakhnin,+1.5,3.0,9,+0.5,1.25,4.5,2,1,2,2,2,3,0,0,85,84,35,41,3,4,2,2,48,52,71,1,Pitch: GOOD,Weather: GOOD
693518,1061,OLY Q W,Womens Olympic Qual,W,4,International,G,20424,Kenya Women,9734,Zambia Women,+0.25,2.5,,+0.25,1.0,,1,1,2,4,2,1,0,0,73,66,36,44,2,1,3,6,0,0,70,1,Pitch: GOOD,Weather: GOOD
693296,341,ISR LL,Israel Leumit Liga,I,97,Israel,Y,5936,Hapoel Afula,5727,Hapoel Rishon Lezion,+1.0,2.25,9,+0.25,1.0,4.5,0,0,3,5,2,2,0,0,50,61,23,36,4,2,2,7,39,61,68,0,Pitch: GOOD,Weather: GOOD
693556,704,ARG R,Argentina Reserve League,A,32,Argentina,A,8304,Lanus Reserves,8149,Banfield Reserves,-0.25,2.5,9.5,0.0,1.0,4.5,2,1,1,3,2,1,0,0,115,93,49,56,4,6,4,4,50,50,70,1,Pitch: GOOD,Weather: GOOD
693557,704,ARG R,Argentina Reserve League,A,32,Argentina,A,17359,Newell's Reserves,8852,Defensa y Justicia Reserves,-0.5,2.5,8.5,-0.25,1.0,4,0,1,6,2,1,0,0,0,119,80,67,38,2,4,8,3,60,40,70,1,Pitch: GOOD,Weather: GOOD
693297,341,ISR LL,Israel Leumit Liga,I,97,Israel,Y,8765,Hapoel Ashkelon,961,Hapoel Akko,-0.25,2.25,9,0.0,1.0,4,1,0,2,1,2,0,0,0,80,71,42,29,1,6,11,3,55,45,69,1,Pitch: GOOD,Weather: GOOD
693300,341,ISR LL,Israel Leumit Liga,I,97,Israel,Y,6023,Hapoel Petach Tikva,6232,Hapoel Ramat Gan,-0.25,2.25,8.5,0.0,0.75,4,1,0,2,5,0,0,0,0,85,129,51,81,4,0,6,8,46,54,71,1,Pitch: GOOD,Weather: GOOD
693250,806,AZE D1,Azerbaijan Division 1,A,85,Azerbaijan,A,32519,FK Qarabag II,32528,FK Sumqayit II,-0.25,3.0,,0.0,1.25,,1,1,3,3,2,2,0,0,98,102,40,37,5,4,2,4,50,50,71,1,Pitch: GOOD,Weather: GOOD
693299,341,ISR LL,Israel Leumit Liga,I,97,Israel,Y,7958,Hapoel Nir Ramat Hasharon,36610,Hapoel Nof HaGalil,-0.25,2.25,9,0.0,1.0,4,1,0,6,5,3,2,0,0,60,61,31,43,2,1,4,9,0,0,70,1,Pitch: GOOD,Weather: GOOD
693870,1124,TZA PL,Tanzania Premier League,T,106,Tanzania,T,32594,KMC FC,19557,Kagera Sugar,-0.25,2.25,8.5,-0.25,0.75,4,0,2,4,2,1,0,0,0,113,110,60,65,0,2,3,1,0,0,65,1,Pitch: GOOD,Weather: GOOD
693356,845,UGA PL,Uganda Premier League,U,109,Uganda,W,33065,Wakiso Giants FC,37531,Busoga United FC,0.0,1.75,,+0.5,0.5,,1,1,3,1,1,1,0,0,126,102,113,64,4,3,10,7,0,0,60,1,Pitch: GOOD,Weather: GOOD
693558,704,ARG R,Argentina Reserve League,A,32,Argentina,A,7981,Racing Club Reserves,12075,Huracan Reserves,-0.5,2.5,8.5,-0.25,1.0,4,1,1,2,0,1,1,0,0,88,103,50,50,3,2,5,4,54,46,70,1,Pitch: GOOD,Weather: GOOD
693555,704,ARG R,Argentina Reserve League,A,32,Argentina,A,8047,Godoy Cruz Reserves,7982,CA Independiente Reserves,0.0,2.25,9.5,0.0,1.0,4.5,0,0,3,4,2,1,0,0,17,8,32,49,0,0,0,1,38,62,66,0,Pitch: GOOD,Weather: GOOD
693574,704,ARG R,Argentina Reserve League,A,32,Argentina,A,8879,San Lorenzo Reserves,12709,Argentinos Jrs Reserves,-0.75,2.5,9.5,-0.25,1.0,4.5,3,2,2,7,2,2,0,0,62,64,46,63,4,8,1,8,42,58,68,1,Pitch: GOOD,Weather: GOOD
693576,704,ARG R,Argentina Reserve League,A,32,Argentina,A,12674,Velez Sarsfield Reserves,12074,Boca Juniors Reserves,-0.25,2.5,9,0.0,1.0,4.5,1,0,4,2,0,0,0,0,94,85,33,43,3,5,0,3,50,50,67,1,Pitch: GOOD,Weather: GOOD
693550,704,ARG R,Argentina Reserve League,A,32,Argentina,A,13587,CA Aldosivi Reserves,8851,Gimnasia LP Reserves,+0.25,2.25,9.5,0.0,0.75,4.5,0,0,4,3,3,0,0,0,48,50,28,25,5,3,2,2,45,55,66,0,Pitch: GOOD,Weather: GOOD
693554,704,ARG R,Argentina Reserve League,A,32,Argentina,A,7510,Estudiantes LP Reserves,23858,CA Talleres de Córdoba Reserves,-1.0,2.5,9,-0.25,1.0,4.5,0,0,3,1,0,1,0,0,82,110,48,47,2,3,2,3,40,60,63,0,Pitch: GOOD,Weather: GOOD
693573,704,ARG R,Argentina Reserve League,A,32,Argentina,A,8048,River Plate Reserves,16978,Rosario Central Reserves,-1.0,2.5,9,-0.25,1.0,4,2,0,5,8,1,2,0,0,80,69,54,51,5,2,7,4,57,43,66,1,Pitch: GOOD,Weather: GOOD
693575,704,ARG R,Argentina Reserve League,A,32,Argentina,A,15848,Union Santa Fe Reserves,19610,Atletico Tucuman Reserves,-0.25,2.5,9,0.0,1.0,4.5,0,0,2,0,0,1,1,0,53,83,33,42,4,3,3,4,43,57,62,0,Pitch: GOOD,Weather: GOOD
693274,1898,Burundi PL,Burundi Premier League,B,163,Burundi,B,37087,BS Dynamic,34078,Rukinzo FC,-0.5,2.25,,+0.25,0.5,,1,1,7,5,2,1,0,0,66,81,46,43,1,1,0,0,0,0,61,1,6' - 2nd Corner - BS Dynamic,2' - 1st Corner - BS Dynamic
693446,881,AFC C U19,AFC U19 Championships,A,4,International,G,15980,Bangladesh U19,16906,Jordan U19,+2,3.25,,+0.75,1.25,,0,1,2,3,1,0,0,0,61,80,25,55,0,2,3,5,0,0,56,1,Pitch: GOOD,Weather: GOOD
693278,653,IRN PL,Iran Pro League,I,74,Iran,Y,20388,Naft Mased Soleiman,9693,Nassaji Mazandaran,-0.25,1.75,8.5,0.0,0.5,4,0,0,2,3,0,0,0,0,76,52,38,24,0,0,0,0,0,0,53,0,Pitch: GOOD,Weather: GOOD
693348,2378,Algeria WL,Algeria Womens League,A,111,Algeria,A,28751,Afak Relizane Women,28752,ESF Amizour Women,-0.5,3.0,,-0.25,1.25,,2,0,3,2,1,1,0,0,51,43,30,14,3,0,4,1,51,49,48,1,Pitch: GOOD,Weather: GOOD
693375,1855,IND MPL,India Mizoram Premier League,I,17,India,Y,27392,Mizoram Police FC,12765,Aizawl FC,+0.75,2.75,10,+0.25,1.25,4.5,1,5,3,5,1,0,0,0,56,56,29,34,1,8,6,5,0,0,HT,1,Pitch: GOOD,Weather: GOOD
693358,830,UAE PL,UAE Premier League,U,35,The United Arab Emirates (UAE),A,9057,Al Fujairah,9279,Hatta Dubai,0.0,3.0,10,0.0,1.25,4.5,0,1,3,0,1,2,0,0,21,32,11,15,0,1,2,2,36,64,28,1,Pitch: GOOD,Weather: GOOD
693357,830,UAE PL,UAE Premier League,U,35,The United Arab Emirates (UAE),A,822,Ajman SCC,28079,Khor Fakkan,-0.25,2.75,9.5,0.0,1.25,4.5,0,0,1,1,0,0,0,0,31,40,22,17,0,1,2,0,46,54,28,0,Pitch: GOOD,Weather: GOOD
693396,2573,POR U23 L,Portugal U23 League,P,45,Portugal,P,32397,Belenenses U23,32403,Guimaraes U23,-0.75,2.5,9.5,-0.25,1.0,4.5,0,0,0,1,1,1,0,0,23,43,10,9,0,0,2,0,40,60,27,0,Pitch: GOOD,Weather: GOOD
693401,836,UAE RL,UAE Reserve League,U,35,The United Arab Emirates (UAE),A,8931,Al Ittihad Kalba Reserves,9131,Al Nasr SC Reserves,-0.25,2.5,,0.0,1.0,,2,0,1,2,0,0,0,0,29,28,12,26,2,1,1,1,48,52,27,1,Pitch: GOOD,Weather: GOOD
693862,1590,CMR E2,Cameroon Elite Two,C,54,Cameroon,K,29796,Yafoot FC,21959,Racing de Bafoussam,-0.25,2.25,,0.0,0.75,,0,0,1,0,0,0,0,0,42,38,29,17,1,0,2,2,0,0,27,0,Pitch: GOOD,Weather: GOOD
